Energy_MeV,Flux
3.707916e+00,1.693217e+05
3.715994e+00,1.696516e+05
3.724073e+00,1.699652e+05
3.732151e+00,1.702615e+05
3.740229e+00,1.705396e+05
3.748307e+00,1.708020e+05
3.756386e+00,1.710529e+05
3.764464e+00,1.712929e+05
3.772542e+00,1.715227e+05
3.780620e+00,1.717430e+05
3.788699e+00,1.719546e+05
3.796777e+00,1.721581e+05
3.804855e+00,1.723542e+05
3.812933e+00,1.725437e+05
3.821012e+00,1.727272e+05
3.829090e+00,1.729055e+05
3.837168e+00,1.730791e+05
3.845246e+00,1.732490e+05
3.853325e+00,1.734156e+05
3.861403e+00,1.735799e+05
3.869481e+00,1.737424e+05
3.877559e+00,1.739038e+05
3.885638e+00,1.740649e+05
3.893716e+00,1.742263e+05
3.901794e+00,1.743888e+05
3.909872e+00,1.745531e+05
3.917951e+00,1.747198e+05
3.926029e+00,1.748897e+05
3.934107e+00,1.750634e+05
3.942185e+00,1.752418e+05
3.950264e+00,1.754254e+05
3.958342e+00,1.756150e+05
3.966420e+00,1.758112e+05
3.974498e+00,1.760148e+05
3.982577e+00,1.762266e+05
3.990655e+00,1.764471e+05
3.998733e+00,1.766770e+05
4.006811e+00,1.769172e+05
4.014890e+00,1.771683e+05
4.022968e+00,1.774317e+05
4.031046e+00,1.777142e+05
4.039124e+00,1.780165e+05
4.047203e+00,1.783374e+05
4.055281e+00,1.786758e+05
4.063359e+00,1.790305e+05
4.071437e+00,1.794005e+05
4.079516e+00,1.797845e+05
4.087594e+00,1.801816e+05
4.095672e+00,1.805904e+05
4.103750e+00,1.810100e+05
4.111829e+00,1.814391e+05
4.119907e+00,1.818767e+05
4.127985e+00,1.823216e+05
4.136063e+00,1.827726e+05
4.144142e+00,1.832288e+05
4.152220e+00,1.836888e+05
4.160298e+00,1.841516e+05
4.168376e+00,1.846161e+05
4.176455e+00,1.850811e+05
4.184533e+00,1.855455e+05
4.192611e+00,1.860082e+05
4.200689e+00,1.864680e+05
4.208768e+00,1.869239e+05
4.216846e+00,1.873746e+05
4.224924e+00,1.878190e+05
4.233002e+00,1.882561e+05
4.241081e+00,1.886846e+05
4.249159e+00,1.891035e+05
4.257237e+00,1.895116e+05
4.265315e+00,1.899078e+05
4.273394e+00,1.902910e+05
4.281472e+00,1.906600e+05
4.289550e+00,1.910137e+05
4.297628e+00,1.913510e+05
4.305707e+00,1.916707e+05
4.313785e+00,1.919773e+05
4.321863e+00,1.922779e+05
4.329941e+00,1.925728e+05
4.338020e+00,1.928621e+05
4.346098e+00,1.931461e+05
4.354176e+00,1.934251e+05
4.362254e+00,1.936991e+05
4.370333e+00,1.939686e+05
4.378411e+00,1.942336e+05
4.386489e+00,1.944944e+05
4.394567e+00,1.947513e+05
4.402646e+00,1.950043e+05
4.410724e+00,1.952539e+05
4.418802e+00,1.955001e+05
4.426880e+00,1.957432e+05
4.434958e+00,1.959835e+05
4.443037e+00,1.962211e+05
4.451115e+00,1.964562e+05
4.459193e+00,1.966892e+05
4.467271e+00,1.969201e+05
4.475350e+00,1.971493e+05
4.483428e+00,1.973769e+05
4.491506e+00,1.976032e+05
4.499584e+00,1.978283e+05
4.507663e+00,1.980526e+05
4.515741e+00,1.982762e+05
4.523819e+00,1.984994e+05
4.531897e+00,1.987223e+05
4.539976e+00,1.989452e+05
4.548054e+00,1.991683e+05
4.556132e+00,1.993919e+05
4.564210e+00,1.996161e+05
4.572289e+00,1.998411e+05
4.580367e+00,2.000673e+05
4.588445e+00,2.002948e+05
4.596523e+00,2.005238e+05
4.604602e+00,2.007546e+05
4.612680e+00,2.009873e+05
4.620758e+00,2.012222e+05
4.628836e+00,2.014596e+05
4.636915e+00,2.016996e+05
4.644993e+00,2.019424e+05
4.653071e+00,2.021884e+05
4.661149e+00,2.024376e+05
4.669228e+00,2.026903e+05
4.677306e+00,2.029468e+05
4.685384e+00,2.032072e+05
4.693462e+00,2.034721e+05
4.701541e+00,2.037416e+05
4.709619e+00,2.040155e+05
4.717697e+00,2.042935e+05
4.725775e+00,2.045753e+05
