E_nu_MeV,X_times_N_nue
2.15233333e+01,1.50185347e+05
2.15762162e+01,1.50669325e+05
2.16290991e+01,1.51152614e+05
2.16819820e+01,1.51635205e+05
2.17348649e+01,1.52117089e+05
2.17877477e+01,1.52598256e+05
2.18406306e+01,1.53078696e+05
2.18935135e+01,1.53558402e+05
2.19463964e+01,1.54037363e+05
2.19992793e+01,1.54515571e+05
2.20521622e+01,1.54993016e+05
2.21050450e+01,1.55469690e+05
2.21579279e+01,1.55945582e+05
2.22108108e+01,1.56420684e+05
2.22636937e+01,1.56894986e+05
2.23165766e+01,1.57368480e+05
2.23694595e+01,1.57841156e+05
2.24223423e+01,1.58313005e+05
2.24752252e+01,1.58784018e+05
2.25281081e+01,1.59254186e+05
2.25809910e+01,1.59723499e+05
2.26338739e+01,1.60191948e+05
2.26867568e+01,1.60659524e+05
2.27396396e+01,1.61126218e+05
2.27925225e+01,1.61592021e+05
2.28454054e+01,1.62056923e+05
2.28982883e+01,1.62520915e+05
2.29511712e+01,1.62983989e+05
2.30040541e+01,1.63446134e+05
2.30569369e+01,1.63907343e+05
2.31098198e+01,1.64367604e+05
2.31627027e+01,1.64826910e+05
2.32155856e+01,1.65285252e+05
2.32684685e+01,1.65742619e+05
2.33213514e+01,1.66199003e+05
2.33742342e+01,1.66654394e+05
2.34271171e+01,1.67108784e+05
2.34800000e+01,1.67562164e+05
2.35328829e+01,1.68014523e+05
2.35857658e+01,1.68465853e+05
2.36386486e+01,1.68916144e+05
2.36915315e+01,1.69365389e+05
2.37444144e+01,1.69813576e+05
2.37972973e+01,1.70260697e+05
2.38501802e+01,1.70706744e+05
2.39030631e+01,1.71151706e+05
2.39559459e+01,1.71595574e+05
2.40088288e+01,1.72038340e+05
2.40617117e+01,1.72479994e+05
2.41145946e+01,1.72920527e+05
2.41674775e+01,1.73359930e+05
2.42203604e+01,1.73798193e+05
2.42732432e+01,1.74235308e+05
2.43261261e+01,1.74671265e+05
2.43790090e+01,1.75106054e+05
2.44318919e+01,1.75539668e+05
2.44847748e+01,1.75972096e+05
2.45376577e+01,1.76403330e+05
2.45905405e+01,1.76833360e+05
2.46434234e+01,1.77262177e+05
2.46963063e+01,1.77689772e+05
2.47491892e+01,1.78116135e+05
2.48020721e+01,1.78541258e+05
2.48549550e+01,1.78965131e+05
2.49078378e+01,1.79387746e+05
2.49607207e+01,1.79809092e+05
2.50136036e+01,1.80229161e+05
2.50664865e+01,1.80647944e+05
2.51193694e+01,1.81065431e+05
2.51722523e+01,1.81481613e+05
2.52251351e+01,1.81896481e+05
2.52780180e+01,1.82310026e+05
2.53309009e+01,1.82722238e+05
2.53837838e+01,1.83133109e+05
2.54366667e+01,1.83542629e+05
2.54895495e+01,1.83950789e+05
2.55424324e+01,1.84357580e+05
2.55953153e+01,1.84762993e+05
2.56481982e+01,1.85167018e+05
2.57010811e+01,1.85569646e+05
2.57539640e+01,1.85970869e+05
2.58068468e+01,1.86370676e+05
2.58597297e+01,1.86769059e+05
2.59126126e+01,1.87166008e+05
2.59654955e+01,1.87561515e+05
2.60183784e+01,1.87955570e+05
2.60712613e+01,1.88348164e+05
2.61241441e+01,1.88739288e+05
2.61770270e+01,1.89128932e+05
2.62299099e+01,1.89517088e+05
2.62827928e+01,1.89903746e+05
2.63356757e+01,1.90288896e+05
2.63885586e+01,1.90672531e+05
2.64414414e+01,1.91054640e+05
2.64943243e+01,1.91435215e+05
2.65472072e+01,1.91814246e+05
2.66000901e+01,1.92191724e+05
2.66529730e+01,1.92567640e+05
2.67058559e+01,1.92941984e+05
2.67587387e+01,1.93314749e+05
2.68116216e+01,1.93685923e+05
