E_nu_MeV,X_times_N_anti_nu_mu
2.17877477e+01,9.41499175e+04
2.18406306e+01,9.45204351e+04
2.18935135e+01,9.48912177e+04
2.19463964e+01,9.52622621e+04
2.19992793e+01,9.56335654e+04
2.20521622e+01,9.60051244e+04
2.21050450e+01,9.63769362e+04
2.21579279e+01,9.67489975e+04
2.22108108e+01,9.71213055e+04
2.22636937e+01,9.74938569e+04
2.23165766e+01,9.78666488e+04
2.23694595e+01,9.82396781e+04
2.24223423e+01,9.86129417e+04
2.24752252e+01,9.89864365e+04
2.25281081e+01,9.93601596e+04
2.25809910e+01,9.97341077e+04
2.26338739e+01,1.00108278e+05
2.26867568e+01,1.00482667e+05
2.27396396e+01,1.00857272e+05
2.27925225e+01,1.01232090e+05
2.28454054e+01,1.01607118e+05
2.28982883e+01,1.01982353e+05
2.29511712e+01,1.02357791e+05
2.30040541e+01,1.02733430e+05
2.30569369e+01,1.03109267e+05
2.31098198e+01,1.03485298e+05
2.31627027e+01,1.03861520e+05
2.32155856e+01,1.04237931e+05
2.32684685e+01,1.04614527e+05
2.33213514e+01,1.04991306e+05
2.33742342e+01,1.05368263e+05
2.34271171e+01,1.05745397e+05
2.34800000e+01,1.06122704e+05
2.35328829e+01,1.06500180e+05
2.35857658e+01,1.06877824e+05
2.36386486e+01,1.07255632e+05
2.36915315e+01,1.07633600e+05
2.37444144e+01,1.08011726e+05
2.37972973e+01,1.08390007e+05
2.38501802e+01,1.08768439e+05
2.39030631e+01,1.09147020e+05
2.39559459e+01,1.09525747e+05
2.40088288e+01,1.09904615e+05
2.40617117e+01,1.10283624e+05
2.41145946e+01,1.10662768e+05
2.41674775e+01,1.11042046e+05
2.42203604e+01,1.11421454e+05
2.42732432e+01,1.11800989e+05
2.43261261e+01,1.12180648e+05
2.43790090e+01,1.12560428e+05
2.44318919e+01,1.12940326e+05
2.44847748e+01,1.13320339e+05
2.45376577e+01,1.13700464e+05
2.45905405e+01,1.14080698e+05
2.46434234e+01,1.14461037e+05
2.46963063e+01,1.14841478e+05
2.47491892e+01,1.15222020e+05
2.48020721e+01,1.15602657e+05
2.48549550e+01,1.15983389e+05
2.49078378e+01,1.16364210e+05
2.49607207e+01,1.16745119e+05
2.50136036e+01,1.17126112e+05
2.50664865e+01,1.17507186e+05
2.51193694e+01,1.17888339e+05
2.51722523e+01,1.18269566e+05
2.52251351e+01,1.18650865e+05
2.52780180e+01,1.19032234e+05
2.53309009e+01,1.19413668e+05
2.53837838e+01,1.19795165e+05
2.54366667e+01,1.20176721e+05
2.54895495e+01,1.20558335e+05
2.55424324e+01,1.20940002e+05
2.55953153e+01,1.21321719e+05
2.56481982e+01,1.21703484e+05
2.57010811e+01,1.22085293e+05
2.57539640e+01,1.22467144e+05
2.58068468e+01,1.22849033e+05
2.58597297e+01,1.23230957e+05
2.59126126e+01,1.23612914e+05
2.59654955e+01,1.23994899e+05
2.60183784e+01,1.24376911e+05
2.60712613e+01,1.24758945e+05
2.61241441e+01,1.25141000e+05
2.61770270e+01,1.25523071e+05
2.62299099e+01,1.25905156e+05
2.62827928e+01,1.26287252e+05
2.63356757e+01,1.26669355e+05
2.63885586e+01,1.27051463e+05
2.64414414e+01,1.27433573e+05
2.64943243e+01,1.27815681e+05
2.65472072e+01,1.28197784e+05
2.66000901e+01,1.28579880e+05
2.66529730e+01,1.28961965e+05
2.67058559e+01,1.29344036e+05
2.67587387e+01,1.29726091e+05
2.68116216e+01,1.30108125e+05
2.68645045e+01,1.30490137e+05
2.69173874e+01,1.30872122e+05
2.69702703e+01,1.31254078e+05
2.70231532e+01,1.31636003e+05
2.70760360e+01,1.32017892e+05
2.71289189e+01,1.32399742e+05
2.71818018e+01,1.32781552e+05
2.72346847e+01,1.33163317e+05
2.72875676e+01,1.33545034e+05
2.73404505e+01,1.33926701e+05
2.73933333e+01,1.34308314e+05
2.74462162e+01,1.34689871e+05
2.74990991e+01,1.35071368e+05
2.75519820e+01,1.35452802e+05
2.76048649e+01,1.35834170e+05
2.76577477e+01,1.36215470e+05
2.77106306e+01,1.36596697e+05
2.77635135e+01,1.36977850e+05
2.78163964e+01,1.37358924e+05
2.78692793e+01,1.37739917e+05
2.79221622e+01,1.38120826e+05
2.79750450e+01,1.38501647e+05
2.80279279e+01,1.38882378e+05
2.80808108e+01,1.39263016e+05
2.81336937e+01,1.39643557e+05
2.81865766e+01,1.40023999e+05
2.82394595e+01,1.40404338e+05
2.82923423e+01,1.40784572e+05
2.83452252e+01,1.41164696e+05
2.83981081e+01,1.41544709e+05
2.84509910e+01,1.41924607e+05
2.85038739e+01,1.42304388e+05
2.85567568e+01,1.42684047e+05
2.86096396e+01,1.43063582e+05
2.86625225e+01,1.43442990e+05
2.87154054e+01,1.43822268e+05
2.87682883e+01,1.44201412e+05
2.88211712e+01,1.44580420e+05
2.88740541e+01,1.44959289e+05
2.89269369e+01,1.45338016e+05
2.89798198e+01,1.45716597e+05
2.90327027e+01,1.46095029e+05
2.90855856e+01,1.46473310e+05
2.91384685e+01,1.46851436e+05
2.91913514e+01,1.47229404e+05
2.92442342e+01,1.47607212e+05
2.92971171e+01,1.47984856e+05
2.93500000e+01,1.48362332e+05
2.94028829e+01,1.48739639e+05
2.94557658e+01,1.49116773e+05
2.95086486e+01,1.49493730e+05
2.95615315e+01,1.49870509e+05
2.96144144e+01,1.50247105e+05
2.96672973e+01,1.50623516e+05
2.97201802e+01,1.50999738e+05
2.97730631e+01,1.51375769e+05
2.98259459e+01,1.51751606e+05
2.98788288e+01,1.52127245e+05
2.99317117e+01,1.52502683e+05
2.99845946e+01,1.52877918e+05
3.00374775e+01,1.53252945e+05
3.00903604e+01,1.53627763e+05
3.01432432e+01,1.54002369e+05
3.01961261e+01,1.54376758e+05
3.02490090e+01,1.54750928e+05
3.03018919e+01,1.55124876e+05
3.03547748e+01,1.55498599e+05
3.04076577e+01,1.55872094e+05
3.04605405e+01,1.56245358e+05
3.05134234e+01,1.56618387e+05
3.05663063e+01,1.56991179e+05
3.06191892e+01,1.57363730e+05
3.06720721e+01,1.57736038e+05
3.07249550e+01,1.58108100e+05
3.07778378e+01,1.58479911e+05
3.08307207e+01,1.58851470e+05
3.08836036e+01,1.59222774e+05
3.09364865e+01,1.59593818e+05
3.09893694e+01,1.59964601e+05
3.10422523e+01,1.60335118e+05
3.10951351e+01,1.60705368e+05
3.11480180e+01,1.61075346e+05
3.12009009e+01,1.61445051e+05
3.12537838e+01,1.61814478e+05
3.13066667e+01,1.62183625e+05
3.13595495e+01,1.62552489e+05
3.14124324e+01,1.62921066e+05
3.14653153e+01,1.63289353e+05
3.15181982e+01,1.63657349e+05
3.15710811e+01,1.64025048e+05
3.16239640e+01,1.64392449e+05
3.16768468e+01,1.64759549e+05
3.17297297e+01,1.65126343e+05
3.17826126e+01,1.65492830e+05
3.18354955e+01,1.65859006e+05
3.18883784e+01,1.66224868e+05
3.19412613e+01,1.66590412e+05
3.19941441e+01,1.66955637e+05
3.20470270e+01,1.67320539e+05
3.20999099e+01,1.67685114e+05
3.21527928e+01,1.68049360e+05
3.22056757e+01,1.68413274e+05
3.22585586e+01,1.68776852e+05
3.23114414e+01,1.69140092e+05
3.23643243e+01,1.69502991e+05
3.24172072e+01,1.69865545e+05
3.24700901e+01,1.70227751e+05
3.25229730e+01,1.70589606e+05
3.25758559e+01,1.70951108e+05
3.26287387e+01,1.71312253e+05
3.26816216e+01,1.71673038e+05
3.27345045e+01,1.72033460e+05
3.27873874e+01,1.72393515e+05
3.28402703e+01,1.72753202e+05
3.28931532e+01,1.73112517e+05
3.29460360e+01,1.73471456e+05
3.29989189e+01,1.73830018e+05
3.30518018e+01,1.74188198e+05
3.31046847e+01,1.74545993e+05
3.31575676e+01,1.74903401e+05
3.32104505e+01,1.75260418e+05
3.32633333e+01,1.75617042e+05
3.33162162e+01,1.75973269e+05
3.33690991e+01,1.76329097e+05
3.34219820e+01,1.76684522e+05
3.34748649e+01,1.77039540e+05
3.35277477e+01,1.77394150e+05
3.35806306e+01,1.77748348e+05
3.36335135e+01,1.78102131e+05
3.36863964e+01,1.78455496e+05
3.37392793e+01,1.78808440e+05
3.37921622e+01,1.79160959e+05
3.38450450e+01,1.79513051e+05
3.38979279e+01,1.79864713e+05
3.39508108e+01,1.80215941e+05
3.40036937e+01,1.80566733e+05
3.40565766e+01,1.80917086e+05
3.41094595e+01,1.81266995e+05
3.41623423e+01,1.81616459e+05
3.42152252e+01,1.81965475e+05
3.42681081e+01,1.82314038e+05
3.43209910e+01,1.82662147e+05
3.43738739e+01,1.83009798e+05
3.44267568e+01,1.83356988e+05
3.44796396e+01,1.83703713e+05
3.45325225e+01,1.84049972e+05
