E_MeV,phi_25m_2_per_MeV_cm2_s
12.1625,5123419.791
12.1875,4775745.79
12.2125,4519199.837
12.2375,4271920.699
12.2625,4034763.219
12.2875,3797986.518
12.3125,3565034.471
12.3375,3340914.866
12.3625,3140255.176
12.3875,2937814.356
12.4125,2740277.567
12.4375,2554277.992
12.4625,2374314.254
12.4875,2199929.445
