E_MeV,phi_500m_1_per_MeV_cm2_s,dphi_500m_1_per_MeV_cm2_s
8.9875,2543924.203720783,443124.8118902207
9.0125,2367680.069262235,424788.8917298502
9.0375,2284194.425651002,406065.2674631991
9.0625,2187291.6192558696,389775.47729229863
9.0875,2076253.363517147,372520.54814039037
9.1125,1990180.3397303824,361856.736305301
9.1375,1915533.79703592,352429.65982982493
9.1625,1848715.9273885405,344677.0939477308
9.1875,1796166.834160055,337619.48663415655
9.2125,1748789.6693760343,330333.1388918758
9.2375,1695442.186593071,322902.65028629237
9.2625,1639332.1104759043,315978.1752668033
9.2875,1590488.3616912172,309189.4210883177
9.3125,1547257.8638501177,302765.0409939688
9.3375,1506592.2174549287,296519.88845783396
9.3625,1463363.868433582,290265.4016404753
9.3875,1405813.8487027292,283838.5959382556
9.4125,1366078.41448694,278016.90569551813
9.4375,1324522.3007811862,272183.50709244725
9.4625,1286011.328774306,266604.7013249747
9.4875,1231503.4591261516,261038.99530649857
9.5125,1200878.065172344,255856.6382128274
9.5375,1159305.6403483087,249700.59720904919
9.5625,1105692.8384761757,244203.75015077292
9.5875,1080044.5763720232,239507.13089274024
9.6125,1054271.6122010686,234949.66736161028
9.6375,1028666.242143201,230262.71334069158
9.6625,1003225.7027387824,225855.14904721832
9.6875,976819.1554683796,221617.01448136635
9.7125,953313.3302655236,217396.6260256671
9.7375,921139.9211686624,213037.33905093634
9.7625,894206.9974074864,208956.08122380398
9.7875,872119.3932417951,204952.83311059044
9.8125,851696.3465785172,201037.89437009481
9.8375,831736.3788686729,197164.16594414428
9.8625,812311.9719873111,193252.8337995168
9.8875,792742.9581097084,189429.0376679095
9.9125,771754.1350871635,185618.30777044894
9.9375,751609.7394600644,181909.30381312693
9.9625,733393.4670761278,178297.03359305157
9.9875,714721.2784712688,174609.2926002899
10.0125,696377.1257308247,171058.3771342784
10.0375,676002.1537241506,167542.61706027138
10.0625,656269.101518529,164237.27060316488
10.0875,637247.1529516908,160972.0021750623
10.1125,618630.2033952668,157772.6101286911
10.1375,603953.1310348535,154635.26765649102
10.1625,589595.1953276785,151536.86905355088
10.1875,574874.6854194405,148403.07512250624
10.2125,560272.8741572573,145352.2329285259
10.2375,543378.3828396762,142403.2632212475
10.2625,528874.4121528887,139465.24488933943
10.2875,513599.5649627908,136600.6683741541
10.3125,501262.02204463433,133857.1398018992
10.3375,488696.56014831975,131133.36008955145
10.3625,475134.90776508866,128418.54458576963
10.3875,462283.13167674554,125677.51937351796
10.4125,449097.8861414781,122962.2375718526
10.4375,432140.6487339947,120200.19876593689
10.4625,420609.53477703675,117637.00952667331
10.4875,409127.6657123051,115018.35543904745
10.5125,398857.4719961838,112559.1390197157
10.5375,387881.1997544488,110115.98190519477
10.5625,377849.1966238041,107764.02549856067
10.5875,369069.8276416605,105500.54770727748
10.6125,359782.04126861,103246.98664631943
10.6375,349329.8783330485,101018.11386648566
10.6625,340823.14383005095,98816.52685546626
10.6875,332495.9947946451,96557.02172693318
10.7125,324182.45439790335,94376.05521317678
10.7375,314920.8184975219,92130.10593327202
10.7625,306982.70719427307,89993.04519757663
10.7875,299416.3689488493,87909.0317865718
10.8125,292011.36102075933,85849.66980704674
10.8375,284571.78405859595,83809.99107090232
10.8625,277431.6939407235,81791.32174746844
10.8875,267875.7544977534,79804.7967381953
10.9125,258381.2719911106,77881.25875752968
10.9375,251995.8092062236,75940.02383704828
10.9625,244411.3413657759,74087.29751571814
10.9875,238186.98820862634,72186.1316794128
11.0125,231524.71761583036,70305.38636469292
11.0375,225121.22078511177,68446.12971740976
