E_MeV,phi_25m_1_per_MeV_cm2_s
11.7375,5975571.31 
11.7625,5619062.64 
11.7875,5053352.92 
11.8125,4861139.17 
11.8375,4672316.52 
11.8625,4486050.79 
11.8875,4316224.08 
11.9125,4149470.32 
11.9375,3989884.96 
11.9625,3832993.40 
11.9875,3666953.23 
12.0125,3501746.10 
12.0375,3336281.37 
12.0625,3195656.79 
12.0875,3056483.67 
12.1125,2916640.28 
12.1375,2782483.18 
12.1625,2650501.70 
12.1875,2470639.31 
12.2125,2337920.25 
12.2375,2209995.19 
12.2625,2087306.37 
12.2875,1964814.55 
12.3125,1844301.33 
12.3375,1728357.41 
12.3625,1624550.01 
12.3875,1519821.19 
12.4125,1417629.37 
12.4375,1321406.10 
12.4625,1228305.36 
12.4875,1138090.76 
